family,verifier,k,catch,fa,is_best_solo,solo_missed,rho_with_solo,marginal_catch_given_solo
ARC,qwen7b,50,0.9,0.227,False,12,0.229,0.667
ARC,llama31,50,0.673,0.293,False,12,0.319,0.167
ARC,llama32_3b,50,0.26,0.04,False,12,0.119,0.083
ARC,mistral7b,50,0.92,0.68,True,12,1.0,0.0
ARC,gemma2_9b,3,0.6,0.053,False,12,0.211,0.25
MMLU,qwen7b,50,0.827,0.347,False,11,0.209,0.545
MMLU,llama31,50,0.687,0.333,False,11,0.251,0.273
MMLU,llama32_3b,50,0.187,0.12,False,11,0.135,0.0
MMLU,mistral7b,50,0.927,0.76,True,11,1.0,0.0
MMLU,gemma2_9b,3,0.493,0.107,False,11,0.278,0.0
CSQA,qwen7b,50,0.893,0.307,True,16,1.0,0.0
CSQA,llama31,50,0.707,0.227,False,16,0.299,0.312
CSQA,llama32_3b,50,0.393,0.093,False,16,0.278,0.0
CSQA,mistral7b,50,0.853,0.493,False,16,0.284,0.562
CSQA,gemma2_9b,50,0.647,0.093,False,16,0.467,0.0
TruthfulQA,qwen7b,50,0.56,0.333,False,34,0.386,0.206
TruthfulQA,llama31,50,0.76,0.213,False,34,0.33,0.5
TruthfulQA,llama32_3b,50,0.293,0.067,False,34,0.314,0.029
TruthfulQA,mistral7b,50,0.773,0.547,True,34,1.0,0.0
TruthfulQA,gemma2_9b,3,0.487,0.093,False,34,0.24,0.265
GSM8K,qwen7b,50,0.353,0.107,False,7,0.097,0.143
GSM8K,llama31,50,0.953,0.933,True,7,1.0,0.0
GSM8K,llama32_3b,50,0.04,0.0,False,7,0.045,0.0
GSM8K,mistral7b,50,0.733,0.613,False,7,0.152,0.429
GSM8K,gemma2_9b,3,0.08,0.0,False,7,-0.051,0.143
MBPP,qwen7b,50,0.54,0.16,False,20,0.228,0.25
MBPP,llama31,50,0.813,0.427,False,20,0.416,0.4
MBPP,llama32_3b,50,0.053,0.0,False,20,0.006,0.05
MBPP,mistral7b,50,0.867,0.707,True,20,1.0,0.0
MBPP,gemma2_9b,3,0.247,0.08,False,20,0.179,0.05
