failure_mode_id,cost_ratio_fa_over_miss,lambda_cost,s0,first_action,set_size,n_diversify,n_scale
TRUTHFULQA,0.0,0.0,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.0,0.05,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.0,0.1,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.0,0.2,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,0.0,0.4,llama31,STOP,1,0,0
TRUTHFULQA,0.0,0.8,llama31,STOP,1,0,0
TRUTHFULQA,0.25,0.0,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.25,0.05,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.25,0.1,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.25,0.2,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,0.25,0.4,llama31,STOP,1,0,0
TRUTHFULQA,0.25,0.8,llama31,STOP,1,0,0
TRUTHFULQA,0.5,0.0,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.5,0.05,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,0.5,0.1,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,0.5,0.2,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,0.5,0.4,llama31,STOP,1,0,0
TRUTHFULQA,0.5,0.8,llama31,STOP,1,0,0
TRUTHFULQA,1.0,0.0,mistral7b,DIVERSIFY,2,1,0
TRUTHFULQA,1.0,0.05,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,1.0,0.1,llama31,DIVERSIFY,2,1,0
TRUTHFULQA,1.0,0.2,llama31,STOP,1,0,0
TRUTHFULQA,1.0,0.4,llama31,STOP,1,0,0
TRUTHFULQA,1.0,0.8,llama31,STOP,1,0,0
TRUTHFULQA,2.0,0.0,llama31,SCALE,1,0,1
TRUTHFULQA,2.0,0.05,llama31,SCALE,1,0,1
TRUTHFULQA,2.0,0.1,llama31,SCALE,1,0,1
TRUTHFULQA,2.0,0.2,llama31,STOP,1,0,0
TRUTHFULQA,2.0,0.4,llama31,STOP,1,0,0
TRUTHFULQA,2.0,0.8,llama31,STOP,1,0,0
TRUTHFULQA,4.0,0.0,llama32_3b,SCALE,1,0,1
TRUTHFULQA,4.0,0.05,llama32_3b,STOP,1,0,0
TRUTHFULQA,4.0,0.1,llama32_3b,STOP,1,0,0
TRUTHFULQA,4.0,0.2,llama32_3b,STOP,1,0,0
TRUTHFULQA,4.0,0.4,llama31,STOP,1,0,0
TRUTHFULQA,4.0,0.8,llama31,STOP,1,0,0
